university,year,coord,country,latitude,longitude
University of Constantinople,425,Point(28.976018 41.01224),Byzantine Empire,41.01224,28.976018
Academy of Gondishapur,531,Point(48.516666666 32.283333333),Umayyad Caliphate,32.283333333,48.516666666
Academy of Gondishapur,531,Point(48.516666666 32.283333333),Abbasid Caliphate,32.283333333,48.516666666
Academy of Gondishapur,531,Point(48.516666666 32.283333333),Sasanian Empire,32.283333333,48.516666666
Academy of Gondishapur,531,Point(48.516666666 32.283333333),Rashidun Caliphate,32.283333333,48.516666666
Ez-Zitouna University,737,Point(10.164119444 36.794466666),Tunisia,36.794466666,10.164119444
Harran University,744,Point(38.994666666 37.16825),Turkey,37.16825,38.994666666
University of al-Qarawiyyin,859,Point(-4.973333333 34.064444444),Morocco,34.064444444,-4.973333333
University of Parma,962,Point(10.3251 44.801),Italy,44.801,10.3251
Sankore Madrasah,988,Point(-3.005555555 16.775833333),Mali,16.775833333,-3.005555555
Isfahan University of Medical Sciences,1024,Point(51.66175 32.614111),Iran,32.614111,51.66175
University of Bologna,1088,Point(11.342777777 44.493888888),Italy,44.493888888,11.342777777
University of Oxford,1096,Point(-1.255 51.755),United Kingdom,51.755,-1.255
Heiligenkreuz Abbey,1101,Point(16.13122 48.0551),Austria,48.0551,16.13122
University of Modena and Reggio Emilia,1175,Point(10.927861111 44.644944444),Italy,44.644944444,10.927861111
University of Cambridge,1209,Point(0.113157269 52.205355979),United Kingdom,52.205355979,0.113157269
University of Salamanca,1218,Point(-5.666666666 40.961388888),Spain,40.961388888,-5.666666666
University of Padua,1222,Point(11.87 45.42),Italy,45.42,11.87
University of Naples Federico II,1224,Point(14.2569 40.8472),Italy,40.8472,14.2569
Al-Mustansiriya University,1227,Point(44.3996353 33.3669473),Iraq,33.3669473,44.3996353
Cistercian monastery in Gościkowo-Paradyż,1236,Point(15.5475 52.33888889),Poland,52.33888889,15.5475
University of Siena,1240,Point(11.3325 43.319166666),Italy,43.319166666,11.3325
University of Valladolid,1241,Point(-4.721396 41.652225),Spain,41.652225,-4.721396
Gladzor University,1282,Point(45.34777779 39.77833334),Armenia,39.77833334,45.34777779
University of Montpellier,1289,Point(3.863888888 43.631944444),France,43.631944444,3.863888888
University of Lisbon,1290,Point(-9.158888888 38.7525),Portugal,38.7525,-9.158888888
University of Coimbra,1290,Point(-8.4265 40.2074),Portugal,40.2074,-8.4265
University of Macerata,1290,Point(13.44988516 43.299293707),Italy,43.299293707,13.44988516
University of Lleida,1300,Point(0.6196167 41.6147654),Spain,41.6147654,0.6196167
Sapienza University of Rome,1303,Point(12.515833333 41.903333333),Italy,41.903333333,12.515833333
University of Perugia,1308,Point(12.3858 43.1158),Italy,43.1158,12.3858
Medieval University of Dublin,1320,Point(-6.2714 53.3397),Lordship of Ireland,53.3397,-6.2714
University of Florence,1321,Point(11.25951 43.77777),Italy,43.77777,11.25951
"Al-Jamiatul Arabiatul Islamiah, Ziri",1328,Point(91.8902 22.2872),Bangladesh,22.2872,91.8902
University of Angers,1337,Point(-0.55 47.48),France,47.48,-0.55
University of Pisa,1343,Point(10.398458333 43.716508333),Italy,43.716508333,10.398458333
Charles University,1348,Point(14.4037 50.0884),Czech Republic,50.0884,14.4037
University of Pavia,1361,Point(9.15586 45.18675),Italy,45.18675,9.15586
Islamic Azad University of Shahrekord,1362,Point(50.90158 32.350058),Iran,32.350058,50.90158
Jagiellonian University,1364,Point(19.933888888 50.061666666),Poland,50.061666666,19.933888888
University of Vienna,1365,Point(16.359722222 48.213055555),Austria,48.213055555,16.359722222
Jamia Qurania Arabia Lalbagh,1370,Point(90.3896 23.7177),Bangladesh,23.7177,90.3896
"Faculty of Catholic Theology, University of Vienna",1384,Point(16.36016 48.21311),Austria,48.21311,16.36016
Heidelberg University,1386,Point(8.6702507 49.4190991),Germany,49.4190991,8.6702507
University of Cologne,1388,Point(6.928611111 50.928055555),Germany,50.928055555,6.928611111
University of Ferrara,1391,Point(11.616305555 44.842166666),Italy,44.842166666,11.616305555
University of Zadar,1396,Point(15.226135 44.111295),Croatia,44.111295,15.226135
University of Würzburg,1402,Point(9.935277777 49.788055555),Germany,49.788055555,9.935277777
University of Turin,1404,Point(7.688888888 45.069444444),Italy,45.069444444,7.688888888
Q83597147,1409,Point(49.542415 25.479023),Saudi Arabia,25.479023,49.542415
University of St Andrews,1413,Point(-2.793011 56.341214),United Kingdom,56.341214,-2.793011
University of Rostock,1419,Point(12.133372222 54.088133333),Germany,54.088133333,12.133372222
Marie and Louis Pasteur University,1423,Point(6.02 47.24),France,47.24,6.02
Old University of Leuven,1425,Point(4.700638888 50.877861111),France,50.877861111,4.700638888
Old University of Leuven,1425,Point(4.700638888 50.877861111),Burgundian Netherlands,50.877861111,4.700638888
Old University of Leuven,1425,Point(4.700638888 50.877861111),Duchy of Brabant,50.877861111,4.700638888
Old University of Leuven,1425,Point(4.700638888 50.877861111),Spanish Netherlands,50.877861111,4.700638888
Old University of Leuven,1425,Point(4.700638888 50.877861111),Austrian Netherlands,50.877861111,4.700638888
University of Poitiers,1431,Point(0.343888888 46.586111111),France,46.586111111,0.343888888
University of Caen Normandy,1432,Point(-0.363835188 49.192819812),France,49.192819812,-0.363835188
University of Catania,1434,Point(15.0867 37.5036),Italy,37.5036,15.0867
Gunma University of Social Welfare,1449,Point(139.047423 36.355965),Japan,36.355965,139.047423
University of Glasgow,1451,Point(-4.288055555 55.872222222),United Kingdom,55.872222222,-4.288055555
Pontifical Croatian College of St. Jerome,1453,Point(12.477823 41.904742),Italy,41.904742,12.477823
Monasterio de San Diego (Alcalá de Henares),1453,Point(-3.362567 40.483164),Spain,40.483164,-3.362567
University of Greifswald,1456,Point(13.374625 54.094638888),Germany,54.094638888,13.374625
Almo Collegio Capranica,1457,Point(12.477632 41.900128),Italy,41.900128,12.477632
University of Freiburg,1457,Point(7.846944444 47.994166666),Germany,47.994166666,7.846944444
Zawiya Thaalibia (Algiers),1460,Point(3.05956 36.7884592),,36.7884592,3.05956
Nantes University,1460,Point(-1.554284 47.237879),France,47.237879,-1.554284
University of Rennes,1460,Point(-1.637888888 48.117888888),France,48.117888888,-1.637888888
University of Basel,1460,Point(7.58346 47.55852),Switzerland,47.55852,7.58346
